_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1cbb,AE,Alhosn University,,,,,,,,,
658ccbbb738d9d84019c1cbc,US,Alice Lloyd College,,,,,,,,,
658ccbbb738d9d84019c1cbd,DE,Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,,,,,,,,,
658ccbbb738d9d84019c1cbe,IN,Aligarh Muslim University,,,,,,,,,
658ccbbb738d9d84019c1cbf,SA,Al-Imam Mohamed Ibn Saud Islamic University,,,,,,,,,
658ccbbb738d9d84019c1cc0,LB,Al-Islah University,,,,,,,,,
658ccbbb738d9d84019c1cc1,JO,Al-Isra University,,,,,,,,,
658ccbbb738d9d84019c1cc2,LY,Al-Jabal Al-Gharbi University,,,,,,,,,
658ccbbb738d9d84019c1cc3,SA,Aljouf University,,,,,,,,,
658ccbbb738d9d84019c1cc4,PK,Al-Khair University,,,,,,,,,
658ccbbb738d9d84019c1cc5,SA,Alkharj University,,,,,,,,,
658ccbbb738d9d84019c1cc6,IN,All India Institute of Medical Sciences,,,,,,,,,
658ccbbb738d9d84019c1cc7,GH,All Nations University College,,,,,,,,,
658ccbbb738d9d84019c1cc8,IN,Allahabad Agricultural Institute - Deemed University,,,,,,,,,
658ccbbb738d9d84019c1cc9,IN,Allahabad University,,,,,,,,,
658ccbbb738d9d84019c1cca,PK,Allama Iqbal Open University,,,,,,,,,
658ccbbb738d9d84019c1ccb,IR,Allameh Tabatabaie University,,,,,,,,,
658ccbbb738d9d84019c1ccc,US,Allegheny College,,,,,,,,,
658ccbbb738d9d84019c1ccd,US,Allen University,,,,,,,,,
658ccbbb738d9d84019c1cce,MY,Allianze College of Medical Sciences - ACMS,,,,,,,,,
658ccbbb738d9d84019c1ccf,US,Alma College,,,,,,,,,
658ccbbb738d9d84019c1cd0,LB,Al-Manar University,,,,,,,,,
658ccbbb738d9d84019c1cd1,IR,Almustafa Open University,,,,,,,,,
658ccbbb738d9d84019c1cd2,YE,Al-Nasser University,,,,,,,,,
658ccbbb738d9d84019c1cd3,PK,Alpha Omega University,,,,,,,,,
658ccbbb738d9d84019c1cd4,PS,Al-Quds Open University,,,,,,,,,
658ccbbb738d9d84019c1cd5,PS,Al-Quds University - The Arab University in Jerusalem,,,,,,,,,
658ccbbb738d9d84019c1cd6,IQ,Alsadrain University,,,,,,,,,
658ccbbb738d9d84019c1cd7,RU,Altai State Medical University,,,,,,,,,
658ccbbb738d9d84019c1cd8,RU,Altai State Technical University,,,,,,,,,
658ccbbb738d9d84019c1cd9,RU,Altai State University,,,,,,,,,
658ccbbb738d9d84019c1cda,US,Alvernia College,,,,,,,,,
658ccbbb738d9d84019c1cdb,US,Alverno College,,,,,,,,,
658ccbbb738d9d84019c1cdc,SY,Al-Wataniya Private University,,,,,,,,,
658ccbbb738d9d84019c1cdd,SA,Al-Yamamah College,,,,,,,,,
658ccbbb738d9d84019c1cde,SD,Al-Zaiem Al-Azhari University,,,,,,,,,
658ccbbb738d9d84019c1cdf,JO,Al-Zaytoonah University,,,,,,,,,
658ccbbb738d9d84019c1ce0,BH,Ama International University,,,,,,,,,
658ccbbb738d9d84019c1ce1,US,Ambassador University,,,,,,,,,
658ccbbb738d9d84019c1ce2,US,Amber University,,,,,,,,,
658ccbbb738d9d84019c1ce3,ET,Ambo University,,,,,,,,,
658ccbbb738d9d84019c1ce4,NG,Ambrose Alli University,,,,,,,,,
658ccbbb738d9d84019c1ce5,US,American Academy of Nutrition,,,,,,,,,
658ccbbb738d9d84019c1ce6,US,American Business & Technology University,,,,,,,,,
658ccbbb738d9d84019c1ce7,AE,American College Of Dubai,,,,,,,,,
658ccbbb738d9d84019c1ce8,GR,American College of Greece,,,,,,,,,
658ccbbb738d9d84019c1ce9,GR,American College of Thessaloniki,,,,,,,,,
658ccbbb738d9d84019c1cea,US,American Conservatory of Music,,,,,,,,,
658ccbbb738d9d84019c1ceb,US,American Conservatory Theater,,,,,,,,,
658ccbbb738d9d84019c1cec,US,American Film Institute Center for Advanced Film and Television Studies,,,,,,,,,
658ccbbb738d9d84019c1ced,FR,American Graduate School in Paris,,,,,,,,,
658ccbbb738d9d84019c1cee,US,American Indian College,,,,,,,,,
658ccbbb738d9d84019c1cef,US,American InterContinental University - Atlanta,,,,,,,,,
658ccbbb738d9d84019c1cf0,US,American InterContinental University - Ft. Lauderdale,,,,,,,,,
658ccbbb738d9d84019c1cf1,US,American InterContinental University - Georgia,,,,,,,,,
658ccbbb738d9d84019c1cf2,GB,American InterContinental University - London,,,,,,,,,
658ccbbb738d9d84019c1cf3,US,American InterContinental University Online,,,,,,,,,
658ccbbb738d9d84019c1cf4,US,American International College,,,,,,,,,
658ccbbb738d9d84019c1cf5,BD,American International University - Bangladesh,,,,,,,,,
658ccbbb738d9d84019c1cf6,GM,American International University West Africa,,,,,,,,,
658ccbbb738d9d84019c1cf7,US,American Jewish University,,,,,,,,,
658ccbbb738d9d84019c1cf8,US,American Military University,,,,,,,,,
658ccbbb738d9d84019c1cf9,US,American Public University,,,,,,,,,
